seriali	SurveyYear	DayofWeek	Age	Sex	Country	BACONANDHAM	BEEFVEALANDDISHES	BEERLAGERCIDERPERRY	BISCUITS	BROWNGRANARYANDWHEATGERMBREAD	BUNSCAKESPASTRIESFRUITPIES	BURGERSANDKEBABS	BUTTER	CHEESE	CHICKENANDTURKEYDISHES	CHIPSFRIEDROASTPOTATOESANDPOTATOPRODUCTS	CHOCOLATECONFECTIONERY	COATEDCHICKEN	COMMERCIALTODDLERSFOODSANDDRINKS	CRISPSANDSAVOURYSNACKS	EGGSANDEGGDISHES	FRUIT	FRUITJUICE	HIGHFIBREBREAKFASTCEREALS	ICECREAM	LAMBANDDISHES	LIVERDISHES	LOWFATSPREAD	MEATPIESANDPASTRIES	NUTSANDSEEDS	OILYFISH	ONEPERCENTMILK	OTHERBREAD	OTHERBREAKFASTCEREALS	OTHERMARGARINEFATSANDOILS	OTHERMEATANDMEATPRODUCTS	OTHERMILKANDCREAM	OTHERPOTATOESPOTATOSALADSDISHES	OTHERWHITEFISHSHELLFISHFISHDISHES	PASTARICEANDOTHERCEREALS	PORKANDDISHES	PUDDINGS	PUFAMARGARINEOILS	REDUCEDFATSPREAD	SALADANDOTHERRAWVEGETABLES	SAUSAGES	SEMISKIMMEDMILK	SKIMMEDMILK	SMOOTHIES100FRUITANDORJUICE	SOFTDRINKSLOWCALORIE	SOFTDRINKSNOTLOWCALORIE	SPIRITSANDLIQUEURS	SUGARCONFECTIONERY	SUGARSPRESERVESANDSWEETSPREADS	TEACOFFEEANDWATER	VEGETABLESNOTRAW	WHITEBREAD	WHITEFISHCOATEDORFRIED	WHOLEMEALBREAD	WHOLEMILK	WINE	YOGURTFROMAGEFRAISANDDAIRYDESSERTS	DRYWEIGHTBEVERAGES	CHEDDARCHEESE	COTTAGECHEESE	LOWFATSPREADNOTPOLYUNSATURATED	OTHERCHEESE	POLYUNSATURATEDLOWFATSPREAD	REDUCEDFATSPREADNOTPOLYUNSATURATED	REDUCEDFATSPREADPOLYUNSATURATED	SAVOURYSAUCESPICKLESGRAVIESCONDIMENTS	SOUPHOMEMADEANDRETAIL	SpecialDiet	Supps	UsualFoodQuantity	LessFoodReason	MoreFoodReason	UsualDrinkQuantity	LessDrinkReason	diarymth	MoreDrinkReason
900101031	9	Tuesday	43	1	England	0	0	0	35.6	0	75	0	0	0	0	0	0	0	0	0	239.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	2300	0	132	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101031	9	Wednesday	43	1	England	0	0	0	35.6	0	0	0	0	0	349.7	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268.7	0	0	0	0	0	0	224	0	0	0	0	0	0	0	2576	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101031	9	Thursday	43	1	England	0	0	0	37.8	0	0	0	0	0	0	100	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141.99	0	0	0	0	0	0	224	0	0	0	0	0	0	0	2576	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	16	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101031	9	Friday	43	1	England	0	227.25	0	0	0	0	0	0	30	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	200	0	0	0	0	0	0	0	2300	0	72	0	0	0	0	0	9	30	0	0	0	0	0	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101032	9	Tuesday	5	1	England	0	80	0	33.2	96.6	0	0	0	0	0	0	0	0	0	0	100	107.2	0	30	48.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	146	0	10	85	0	257.5	0	0	0	0	0	0	0	710	0	0	0	0	0	0	0	8.6	0	0	0	0	0	10	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101032	9	Wednesday	5	1	England	0	0	0	37.8	0	0	0	0	0	194.7	0	0	0	0	0	0	150	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	100	25	150.5	0	109	0	0	0	0	257.5	0	0	330	0	0	0	0	620	0	0	0	0	0	0	0	8.6	0	0	0	0	0	0	0	0	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101032	9	Thursday	5	1	England	0	0	0	62.7	0	40	0	0	0	70	18.25	0	0	0	0	100	146	0	30	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257.5	0	0	170	0	0	0	0	610	30	0	0	0	0	0	0	8.6	0	0	0	0	0	0	0	66	0	No	No	More Than Usual	 	On a special day	Usual Amount	 	4	 
900101032	9	Friday	5	1	England	0	0	0	88.2	0	60	0	0	0	0	136	0	113.33	0	0	0	87	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	85	0	257.5	0	0	480	0	0	0	0	310	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101061	9	Wednesday	70	2	England	0	0	0	0	0	0	0	0	28	0	0	25.6	0	0	0	0	397.5	56	0	0	0	0	0	0	0	184.01	0	0	0	0	0	0	180	0	0	0	0	0	0	114.7	0	0	48	0	0	0	0	0	0	1902	145	25	85	0	0	0	0	2	28	0	0	0	0	0	0	16	0	No	No	Usual Amount	 	 	Usual Amount	 	4	 
900101061	9	Thursday	70	2	England	0	0	0	0	42.05	50	0	0	28	0	200	0	0	0	0	100	132.8	356	0	0	0	0	7	120	56	0	0	0	0	0	0	16	0	0	0	0	0	0	7	0	0	0	48	0	0	0	0	0	0	1677.5	75	0	0	0	0	0	0	0	28	0	7	0	0	7	0	54	322.72	No	No	Usual Amount	 	 	Less Than Usual	Change of routine	4	 
